source_id,ibge_code,municipality,status_2024_p6,status_2025_p6,directory_hash,accessed_at
fnde_siope_rreo_annex8_pdf,4300034,Aceguá,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4300059,Água Santa,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4300109,Agudo,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4300208,Ajuricaba,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4300307,Alecrim,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4300406,Alegrete,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4300455,Alegria,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4300471,Almirante Tamandaré do Sul,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4300505,Alpestre,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4300554,Alto Alegre,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4300570,Alto Feliz,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4300604,Alvorada,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4300638,Amaral Ferrador,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4300646,Ametista do Sul,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4300661,André da Rocha,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4300703,Anta Gorda,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4300802,Antônio Prado,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4300851,Arambaré,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4300877,Araricá,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4300901,Aratiba,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4301008,Arroio do Meio,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4301057,Arroio do Sal,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4301073,Arroio do Padre,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4301107,Arroio dos Ratos,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4301206,Arroio do Tigre,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4301305,Arroio Grande,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4301404,Arvorezinha,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
fnde_siope_rreo_annex8_pdf,4301503,Augusto Pestana,covered,covered,31444bbed0acfd651537f3aca38a02c7299c08c22f3f44eb9193672321896e34,2026-07-20T17:40:46Z
